id,label,unit,definition,definitionSource,ACLTag
meat_to_vegetables_ctrl,Meat to vegetables ctrl,%,Ctrl data concerning to.,,
methane_FossilGas_array_mix,Methane FossilGas array mix,%,Mix data concerning FossilGas.,,
methane_UpgradingBiogas_array_mix,Methane UpgradingBiogas array mix,%,Mix data concerning UpgradingBiogas.,,
milk_and_eggs_calories_per_day,milk and egg calories per day,kcal,number of calories coming from egg and milk consumed per day per person.,,
min_co2_objective,Min CO2 objective,GtCO2,"Value of CO2 objective. Smaller the value is, better the objective is accomplished.",,
min_utility_objective,Min utility objective,,"Value of the min utility objective. Smaller the value is, better the objective is accomplished.",,
mix_detailed_prices,Detailed mix prices,$/MWh,Prices of residues and not residues.,,
mix_detailed_production,Detailed mix production,TWh,Production load of residues and not residues.,,
negative_welfare_objective,Negative Welfare objective,,Value of the negative welfare objective.,,
non_modeled_resource_price,Non modeled resource price per year,$/t,Price data concerning modeled.,,
nu_knowledge,nu knowledge,,Data concerning CO2 nu_knowl.,,
other_calories_per_day,other calories per day,kcal,"number of calories coming from food other than red and white meat, fish, vegetables, fruits, egg and milk consumed per day per person. This category typically includes sugar, oil wheat, alcohol, cocoa etc (see full list in crop_disc).",,
other_use_agriculture,Other use agriculture,ha/person,"ha/person requested for the production of other products than the other considerated (coffee, tea, chocolate, sugar).",,
output_elasticity,Output elasticity,,Output elasticity of capital in DICE production function. ,,
output_energy_exponent,Output energy exponent,,Parameter of WITNESS production function: Exponent of energy supply in the production function equation.,,
output_energy_share,Output energy share,,Parameter of WITNESS production function: Share of  energy supply in the production function. By oppisition to the share of capital-labour factor. ,,
output_exponent,Output exponent,,Parameter of WITNESS production function: Exponent of the production function.,,
output_k_exponent,Output capital exponent,,Parameter of WITNESS production function: Exponent of capital stock in the production function equation.,,
output_pop_exponent,Output population exponent,,Parameter of WITNESS production function: Exponent of population in the production function equation.,,
output_pop_share,Output population share,,Parameter of WITNESS production function: share of the population in the equation by opposition to the share of capital stock ( equals to 1 - share of capital stock).,,
param_a,Productivity damage function parameter a ,,Parameter of the damage function that links temperature increase and productivity reduction.,,
param_b,Productivity damage function parameter b,,Parameter of the damage function that links temperature increase and productivity reduction.,,
pandemic_disability,Pandemic Disability Rate by Age,%,Rate of Disability by Age,,
pandemic_mortality,Pandemic Mortality Rate by Age,%,Rate of Excess Mortality by Age,,
past_production,Past production,million_tonnes,Data concerning CO2 past_pro.,,
pc_consumption_constraint_df,Pc consumption constraint df,,Df data concerning consumption.,,
phi_knowledge,Phi knowledge,,Data concerning CO2 phi_know.,,
pop_factor,Population factor ,,Parameter of WITNESS production function: value by which we multpiply the population (in millions of people) in the equation.,,
pop_start,Global inital population,millions,Human population on Earth at the first year of the study (millions of people).,,
popasym,Population limit asymptot,millions of people,Asymptotic upper limit of the human population on Earth in millions of people.,,
population_detail_df,Population detailed df,,Population per year per age.,,
population_df,Population data,Million of persons,Global population number.,,
working_age_population_df,Working age population,Million of persons,Population number in age of working (15-70 years old).,,
population_growth,Population growth,,Growth rate of population.,,
population_start,Initial population,,Population at year start per age range.,,
ppm_objective,Ppm objective,,Data concerning CO2 ppm_obje.,,
ppm_ref,Ppm ref,,Reference of ppm value. Used for optimisation.,,
predictible_production,Production prediction,million_tonnes,Data concerning CO2 predicti.,,
production_start,Production start,[-],Data concerning CO2 producti.,,
productivity_gr_start,Productivity growth rate at start,,Productivity growth rate at first year.,,
