variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
electricity.WindOnshore.electricity_WindOnshore_array_mix,"[86.31450939944126, 50.7112595214212, 0.483404475472591, 0.4722215955478319, 49.151885787737754, 52.34424863424213, 40.33788971349627, 17.003084761401126]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.WindOffshore.electricity_WindOffshore_array_mix,"[89.22692294676204, 236.29082777470543, 181.0720230750835, 111.7092122288184, 99.43848877765016, 92.05914213463203, 62.7001065897335, 54.952033388438856]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.SolarPv.electricity_SolarPv_array_mix,"[117.40562066822977, 224.8726695284786, 127.3838770317134, 103.44269376801803, 91.01248683172949, 117.52494806086243, 96.84761447658553, 62.70010705374149]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.SolarThermal.electricity_SolarThermal_array_mix,"[73.92517752000379, 49.9452978563094, 34.50068551527759, 0.9773100347585842, 2.8555444629541236, 37.84602508363191, 14.281442506195365, 13.184480303054258]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Geothermal.electricity_Geothermal_array_mix,"[58.761381037308475, 236.8044859337879, 181.52784185721382, 112.864307588336, 137.69700324183077, 120.18416025155275, 77.53577143926924, 54.55251637130297]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Hydropower.electricity_Hydropower_array_mix,"[55.44495354831313, 57.12919785118268, 7.258777014459715, 17.743822319216935, 63.746886285076194, 57.654879785467244, 51.25672183820443, 21.165482126820052]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Nuclear.electricity_Nuclear_array_mix,"[83.90238992379614, 54.571434831564964, 44.22263951493872, 7.890275131207737, 48.917209079823216, 45.96492833854881, 22.96339702549017, 12.648814620883881]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.CombinedCycleGasTurbine.electricity_CombinedCycleGasTurbine_array_mix,"[84.33900166359467, 58.44370711365012, 40.75368977503415, 38.02311076465773, 44.15817189611249, 47.18232945978747, 5.86471731816006, 13.07644398046312]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.GasTurbine.electricity_GasTurbine_array_mix,"[89.8531363762152, 70.11560001055705, 44.28143753155949, 35.87111056952168, 41.434408155121524, 45.65477544820899, 5.623004604945519, 12.83151789034287]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.BiogasFired.electricity_BiogasFired_array_mix,"[83.92075831481002, 59.035915340448334, 38.67226411225961, 37.5210902486365, 45.64904242274436, 58.01532870558022, 55.18748118377263, 22.634286619668618]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
