variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
electricity.WindOnshore.electricity_WindOnshore_array_mix,"[68.3711767119879, 49.87536002114537, 85.06562916146491, 94.94596420698576, 64.98211748015726, 56.77339040177125, 50.326089746849014, 48.33368276061069]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.WindOffshore.electricity_WindOffshore_array_mix,"[71.55481942735234, 215.98099905558024, 183.47795748635653, 156.18799194941107, 142.4827293087445, 115.54897687635469, 103.76081045224063, 91.06929469390991]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.SolarPv.electricity_SolarPv_array_mix,"[68.97925880664819, 227.0158574858389, 173.257103096082, 153.6537670722353, 155.41046580021438, 122.0249718291678, 104.13042887349236, 89.44523922056788]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.SolarThermal.electricity_SolarThermal_array_mix,"[51.04186639182599, 13.440540640213069, 24.8057692460575, 29.081982323844155, 48.52982884916315, 44.534359505939186, 49.67513796903024, 49.34295658104566]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Geothermal.electricity_Geothermal_array_mix,"[22.367383731768722, 229.04987521320308, 214.05886942377538, 188.11655829651593, 160.811207282578, 118.16165614922633, 103.55018666501792, 91.527406554278]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Hydropower.electricity_Hydropower_array_mix,"[69.14519206873919, 68.91648973063256, 60.1535732658093, 43.847865136367986, 52.81545712312177, 45.26341248756062, 51.087414728169286, 49.76701653778096]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.Nuclear.electricity_Nuclear_array_mix,"[68.21776087949313, 40.88120204509271, 55.322366257650984, 50.51983136633485, 56.8590050228798, 46.233620857066214, 50.026325288568934, 49.743351686688186]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.CombinedCycleGasTurbine.electricity_CombinedCycleGasTurbine_array_mix,"[80.71217054977254, 45.79240602243469, 37.05632255031167, 10.198185936501769, 46.84070311059976, 47.225478282598694, 53.069060265015445, 41.55905820017072]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.GasTurbine.electricity_GasTurbine_array_mix,"[89.00533697851829, 6.689743359821086, 13.752604774384409, 17.843458411132104, 13.50086672323026, 49.56062879591877, 54.27749824056876, 52.298931487215704]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.BiogasFired.electricity_BiogasFired_array_mix,"[64.20426918789516, 26.801601989885192, 4.448741626940544, 3.4947776647897815, 65.22701001495547, 52.868126341190525, 55.14480576047159, 52.879909124581445]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.BiomassFired.electricity_BiomassFired_array_mix,"[36.951594152083395, 18.759650855118146, 1.5338162793946752, 2.346909063006864, 44.26389461603286, 36.18614790105866, 44.94024695434835, 48.03859125953079]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.CoalGen.electricity_CoalGen_array_mix,"[41.247152653842726, 11.866359972093125, 1e-06, 1e-06, 11.10931591713674, 6.980434989938741, 53.2168555837042, 51.582219010053585]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.OilGen.electricity_OilGen_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 7.884681538258524, 20.77964903317612, 19.560125641104335]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
