years,oil_resource,uranium_resource,natural_gas_resource,coal_resource,copper_resource,water_resource,sea_water_resource,CO2_resource,biomass_dry_resource,wet_biomass_resource,natural_oil_resource,methanol_resource,sodium_hydroxide_resource,wood_resource,carbon_resource,managed_wood_resource,oxygen_resource,dioxygen_resource,crude_oil_resource,solid_fuel_resource,calcium_resource,calcium_oxyde_resource,potassium_resource,potassium_hydroxide_resource,amine_resource,ethanol_amine_resource,mono_ethanol_amine_resource,glycerol_resource
2041,456.1796635153526,71183.34669196192,827.7887400999999,29.37853817855521,49999.6703174505,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2042,455.11079726790393,70318.12118390166,827.7887400999999,18.197452525303714,49999.66057047415,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2043,455.0677039386951,69658.56988966142,827.7887400999999,15.3314265,49999.64266392075,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2044,454.7769169973799,68783.21115626043,827.7887400999999,15.3314265,49999.625696898045,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2045,455.95376828795486,66754.0566529557,827.7887400999999,15.3314265,49999.61591300449,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2046,457.47630849668275,64293.51328786017,827.7887400999999,15.3314265,49999.6051381924,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2047,456.9135430645438,62479.98961330889,827.7887400999999,15.3314265,49999.596022714104,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2048,456.47580789156945,61825.674158397065,827.7887400999999,15.3314265,49999.584430352144,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2049,457.3874351145243,62054.589372541006,827.7887400999999,15.3314265,49999.578092241376,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2050,457.6598031335821,62294.623521772555,827.7887400999999,15.3314265,49999.569043469346,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2051,458.283626541224,62525.77204193436,827.7887400999999,15.3314265,49995.061601747126,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2052,458.84662986353027,62788.40224587846,827.7887400999999,15.3314265,49999.554414773804,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2053,459.5648064122283,63015.01915026248,1090.5192727669662,15.3314265,49999.54801230914,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2054,459.69917534580645,63203.52041611914,1166.9743899278037,15.3314265,49999.54245505273,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2055,461.24364562529297,63404.89794973891,1180.0966720719407,15.3314265,49999.53778609281,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2056,459.4665166925512,63596.632689213744,1191.348849605535,15.3314265,49999.53404723361,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2057,456.54052073433127,63762.471624935366,1200.9737831574432,15.3314265,49999.531241266486,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2058,455.5395054821467,63931.79199553279,1228.5382781002097,15.3314265,49999.529353146936,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2059,454.4024245891424,64083.13344001892,1245.259849509705,15.3314265,49999.52835952887,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2060,453.1393514423375,64223.19997620839,1251.6227612301063,15.3314265,49999.528217216124,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2061,451.7875093024223,64344.94525978559,1256.9112086734872,15.3314265,49999.52886154716,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2062,452.27694787448723,64469.5609431131,1439.3578366214974,15.3314265,49999.530218973756,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2063,452.6904549862869,64574.484602804376,1476.109749702623,15.3314265,49999.53221183301,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2064,452.782684026642,64684.95300363481,1479.3052012164496,15.3314265,49999.53476012961,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2065,451.11884858514026,64778.10400462842,1481.3122943512242,15.3314265,49999.53778311307,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2066,449.497565743039,64867.19596033437,1482.2848424039107,15.3314265,49999.541200618085,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2067,447.9261931532515,64954.51585567249,1482.3743610206975,15.3314265,49999.544934152036,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
