years,methane.FossilGas,methane.UpgradingBiogas,hydrogen.gaseous_hydrogen.WaterGasShift,hydrogen.gaseous_hydrogen.Electrolysis.SOEC,hydrogen.gaseous_hydrogen.Electrolysis.PEM,hydrogen.gaseous_hydrogen.Electrolysis.AWE,hydrogen.gaseous_hydrogen.PlasmaCracking,biogas.AnaerobicDigestion,syngas.BiomassGasification,syngas.SMR,syngas.CoalGasification,syngas.Pyrolysis,syngas.AutothermalReforming,syngas.CoElectrolysis,fuel.liquid_fuel.Refinery,fuel.liquid_fuel.FischerTropsch,fuel.hydrotreated_oil_fuel.HefaDecarboxylation,fuel.hydrotreated_oil_fuel.HefaDeoxygenation,solid_fuel.CoalExtraction,solid_fuel.Pelletizing,biomass_dry.ManagedWood,biomass_dry.UnmanagedWood,biomass_dry.CropEnergy,electricity.WindOffshore,electricity.WindOnshore,electricity.SolarPv,electricity.SolarThermal,electricity.Hydropower,electricity.Nuclear,electricity.CombinedCycleGasTurbine,electricity.GasTurbine,electricity.BiogasFired,electricity.Geothermal,electricity.CoalGen,electricity.OilGen,electricity.BiomassFired,fuel.biodiesel.Transesterification,hydrogen.liquid_hydrogen.HydrogenLiquefaction,carbon_capture.direct_air_capture.AmineScrubbing,carbon_capture.direct_air_capture.CalciumPotassiumScrubbing,carbon_capture.flue_gas_capture.CalciumLooping,carbon_capture.flue_gas_capture.ChilledAmmoniaProcess,carbon_capture.flue_gas_capture.CO2Membranes,carbon_capture.flue_gas_capture.MonoEthanolAmine,carbon_capture.flue_gas_capture.PiperazineProcess,carbon_capture.flue_gas_capture.PressureSwingAdsorption,carbon_storage.BiomassBuryingFossilization,carbon_storage.DeepOceanInjection,carbon_storage.DeepSalineFormation,carbon_storage.DepletedOilGas,carbon_storage.EnhancedOilRecovery,carbon_storage.GeologicMineralization,carbon_storage.PureCarbonSolidStorage
2061.0,0.004221294651870348,54.4453309475429,96.80325977203951,16.83054012891758,4.906835911004192,5.55426080496397,31.035652897992808,1.042708410726865,37.06497394389705,32.57225617967285,1.580275481271382,1e-06,134.57238576790664,39.67251154195191,122.16271073371563,33.72611856853002,0.8330610662299858,0.13749089490395447,3.0235601163975563,79.54495183061536,1.859468297026299,0.058152757955699276,1e-06,135.483,497.074,153.89759994405614,39.53774092452554,72.729,53.73789695908771,30.620345268551443,16.481505963685834,36.896280015146615,172.28311847779597,5.952028167177578,0.23388495639609652,25.01589033260192,0.8834275623714041,44.08304166028164,24.80861679809002,57.49734312181063,60.811831361990485,60.20065370940303,42.39008230155549,42.44223444993426,63.22314029382231,43.374046496438375,21.833273708500396,51.846977516646824,53.94028607621711,53.94028607621711,25.692796305196584,19.809006645285535,12.791543781951216
2062.0,0.003826045194432561,54.24026733961715,98.42183927006616,15.485878556564938,5.5503059271114,5.893195721699786,33.45346068303685,0.9019984110995043,37.1996433393976,33.45018571800175,1.50495727515798,1e-06,136.5784669014702,40.163431368656376,116.84493423655516,32.234171905282025,0.7431340047301727,0.12461435171285694,3.17353254533008,80.02686090164696,1.1906103648710917,0.0797702153027424,1e-06,135.453,496.963,153.5094989760898,40.41631987206289,72.761,53.889450449526166,32.182539086332255,16.69919251124171,39.61360055208122,170.41437696883762,6.42091951013131,0.3208294724226286,26.871998852422237,0.6870383474959897,44.86920875280966,25.474843676261376,58.173532279059735,61.379598347855314,60.80014196970636,41.76472189967706,41.71858663824529,63.74102619004497,42.68485094828062,20.895939869491396,51.384383435312735,53.59127380402819,53.59127380402819,26.785078569092335,20.360806899289642,13.408206808628572
2063.0,0.0034261043487759275,53.907342731424954,99.800928905155,14.130181133740743,6.251783356196043,6.196777462390911,35.825041094890665,0.7802810938227094,37.35163385853253,34.282031007322324,1.4254138474408815,1e-06,138.29358584584628,40.64053405711339,111.91588270384187,30.7901566252896,0.6568468434773344,0.11158497121385323,3.3222845262190686,80.31108153356955,0.7163158332465402,0.10617382556795005,1e-06,135.423,496.852,153.06689075263526,41.25988823415098,72.792,54.01590742459928,33.74923156200039,17.003163938108624,42.2418600581649,168.5061773933474,6.868881637035108,0.4270236967945183,28.666260700840333,0.5602971607895695,45.64966060191339,26.121590739706402,58.7937340515978,61.939953236181154,61.38824896172107,41.14147205605169,40.99438431510479,64.25347598709529,42.00409770264215,19.937942187833794,50.858152548832656,53.16516877326689,53.16516877326689,27.803773742230035,20.87606381945434,14.00695391434194
2064.0,0.0030285091972287155,53.43151835481117,100.9101766142175,12.788765596274198,7.01413078910022,6.4579009270832195,38.12584682105351,0.675392456164762,37.52414338837237,35.06551144251755,1.3428955976434922,1.0000000000000002e-06,139.67970481007256,41.098901365212186,107.50962430345679,29.400325051273537,0.5747638636044125,0.09863200936880255,3.463477582472442,80.36207976771007,0.4047381927730458,0.13784220404313896,1.0000000000000002e-06,135.393,496.742,152.55598078456893,42.05901853292943,72.823,54.11040600286904,35.296067618458686,17.405343046797626,44.74766563487809,166.55510638212803,7.28948205014448,0.5543926003463026,30.37643500260295,0.49245199628280145,46.416132769519905,26.736055430929625,59.351745646061204,62.48478044642819,61.95714273315383,40.52892466761877,40.27850978604235,64.75227733645055,41.33995044021867,18.972066691608166,50.260400740889075,52.65090009823712,52.65090009823712,28.727678812011295,21.34590572794082,14.58098301121716
2065.0,0.0026402968221191972,52.797755441620595,101.71923033416495,11.486949679994538,7.840210816666,6.669461015822571,40.331330549024564,0.5851684953939449,37.72036981598763,35.798346418470345,1.258652925289217,1e-06,140.69878600318637,41.53361505084193,103.76022720328072,28.070929505954602,0.49744934624434956,0.08598472213956432,3.5907732374981127,80.1443216453953,0.22403093407101612,0.175253966020125,1e-06,135.362,496.631,151.96297458276698,42.80428329053784,72.855,54.166084302897346,36.79869217860994,17.917652639819742,47.097624383701124,164.55775056598188,7.676288251714911,0.7048611539125148,31.980280882456757,0.4727508480063448,47.160360817556246,27.3054351924355,59.8413642690862,63.005964398056484,62.49899133171123,39.93567163131765,39.57984535658756,65.22921788958793,40.70057284170588,18.011099408895063,49.583243895164465,52.03739689324273,52.03739689324273,29.53559076583768,21.76146094691023,15.123492011380039
2066.0,0.0022685043057756385,51.99101522369805,102.19773800190887,10.250051120730971,8.732886029735493,6.824352628654842,42.41694496630312,0.5074452087785396,37.94351102844888,36.478255330063675,1.1739362299014606,9.999999999999997e-07,141.31279163422536,41.93975687189186,100.80175957119471,26.80822231205357,0.4254675725300868,0.07387236548799775,3.6978330147040017,79.62227320795215,0.1423475477608502,0.21888772679072532,9.999999999999997e-07,135.332,496.520,151.27407765810568,43.48625502911589,72.886,54.1760804432462,38.23275016535702,18.552015519686037,49.25834340611447,162.51069657571165,8.022867744001912,0.8803543283276934,33.45555746514853,0.4904417099908573,47.874080307949534,27.816927466728558,60.256387127309175,63.495389510526245,63.005962805100005,39.370304844087755,38.90727333227005,65.67608529798474,40.09412858779952,17.067826367775066,48.818797895341326,51.31358827258761,51.31358827258761,30.206306591110827,22.113857798523764,15.627678826956423
2067.0,0.001920168730526313,50.99625893288842,102.31534755436066,9.103387654312726,9.695019019150772,6.915470665625904,44.35814276038841,0.4400585935868288,38.19676491282663,37.10295757218049,1.0899959110036301,1e-06,141.48368391222706,42.31240858625119,98.76828957507963,25.618455792291247,0.35938282359456725,0.06252419537596228,3.7783184374980268,78.76040049670752,0.12784152446295174,0.26922210164675564,1e-06,135.302,496.409,150.4754955214613,44.09550627080317,72.918,54.13353254247757,39.57388650160273,19.320354488907547,51.19642980359853,160.41053104211989,8.32278802926098,1.0827970944263718,34.78002387542498,0.5347725762669968,48.549026802626855,28.2577296963133,60.59061142736646,63.944940203297605,63.47022520102678,38.841416202868444,38.269676018619435,66.08466721311822,39.5287813591953,16.15503359632875,47.959178625102176,50.46840335057567,50.46840335057567,30.718623275232343,22.3942246049426,16.086741370072136
2068.0,0.0016023271786994849,49.79844780103648,102.04170692843165,8.072277016569007,10.72947237575394,6.935710026781618,46.13037661877966,0.38084464708709365,38.48332935619139,37.67017253970374,1.0080823681191284,1e-06,141.17342504622889,42.646651951809105,97.7938853828164,24.50788226938837,0.29975938057073187,0.05216946776531703,3.8258910292881025,77.5231695529882,0.1486663547977227,0.3267357058800332,1e-06,135.272,496.299,149.55343368371007,44.62260953773932,72.949,54.031578719153366,40.79774611024992,20.23459234999532,52.878490677633685,158.25384059600904,8.569616609747616,1.314114423043088,35.93143923803282,0.594991440865422,49.17693586351525,28.615039323694216,60.837834375894374,64.34650089583067,63.883946567198194,38.357597604599086,37.67593572116529,66.4467512864656,39.01269483658893,15.285507122636659,46.996501968129444,49.49077124151074,49.49077124151074,31.0513378056038,22.5936896883279,16.493877552853004
2069.0,0.00132045293655048,48.3895640200298,101.35800028341914,7.17612197113556,11.834885567851542,6.881098693613237,47.71496978451022,0.32797764719770417,38.80326472148966,38.17906416581674,0.9296913385816732,6.847067218462151e-05,140.35513291498432,42.937798299112394,97.96054262308984,23.481491887535864,0.24872614098436088,0.0448305755625992,3.836136339837911,75.8897047073934,0.1781562475646048,0.3918959379232815,0.00025071898352826483,135.242,496.188,148.49809293973254,45.06113885361926,72.981,53.86585486466298,41.885849432414034,21.301841415114062,54.28035522976397,156.0392487215045,8.761603166201356,1.576055845950998,36.89416677328358,0.6618979323915077,49.75189505283662,28.880988918416033,60.994096389521204,64.6935992327151,64.24080632534924,37.9251623292391,37.13279509727218,66.75579094830778,38.55175718990798,14.469641515854184,45.9267323629323,48.374523836021716,48.374523836021716,31.189962380129085,22.70638060363528,16.844334470566952
2070.0,0.0010737641060428206,46.78967362192667,100.29155666816347,6.410665392874151,12.993005573608036,6.760196973393486,49.11672772274988,0.28098499443737857,39.14408127517165,38.63457453690425,0.857299910966217,0.000540765377476972,139.04654807610984,43.18207724933805,99.14196676780017,22.539226076805075,0.2146704679325835,0.04970245945305668,3.812336024334171,73.8977634476114,0.2103682842791991,0.46512532877285745,0.0019987518682261186,135.211,496.077,147.31565522042592,45.41667424835899,73.012,53.64198796170522,42.843218982061096,22.509972035043134,55.41474106178774,153.77352631602238,8.915726093297872,1.8696691386777542,37.67898608374794,0.7324982177495003,50.27739993399184,29.06745155818434,61.06441072484298,64.98633575905842,64.54052939332804,37.5413091888279,36.638438211644356,67.01190274414009,38.14275454600731,13.708265509435888,44.76122846732629,47.133104130037104,47.133104130037104,31.146870038721023,22.738421836998036,17.141555951050297
2071.0,0.0008599149930670824,45.02586359882806,98.88124135389067,5.765735184453059,14.181356248652351,6.58469825484047,50.34632645420254,0.2397323699749221,39.490151759563496,39.04309027765144,0.7936305116580238,0.0018227081489847969,137.27656675693777,43.37594799632058,101.15979074965149,21.679764088737485,0.2075443409053668,0.07777319706661556,3.7596957643193627,71.59976155060262,0.24454026463614653,0.5468351925660261,0.006743412555263209,135.181,495.967,146.0162977406917,45.697797253429805,73.043,53.36810276580631,43.68075279136975,23.842044070215586,56.30358787556696,151.46548113030153,9.05364596419688,2.1958266376896343,38.30328086756138,0.805350098418364,50.75929807067662,29.19123544774495,61.05603384844766,65.22645424509757,64.78435206301101,37.20095837842493,36.188909480820996,67.21686899826162,37.78019752097366,12.99981637791113,43.515197493953636,45.78485789581041,45.78485789581041,30.941149031794694,22.698937107343912,17.391035005281434
2072.0,0.000676559903513846,43.125220942835014,97.16591961182708,5.231159248540585,15.37746144861339,6.366295926672296,51.41444199957209,0.20408545497914135,39.82584891699136,39.4109980127434,0.7414055670423588,0.004319123019815805,135.0740851848006,43.51586973389458,103.83564750134795,20.901785174874572,0.23729973939267818,0.14003086603320108,3.6834212413359704,69.04811479332773,0.27990998833008696,0.6374368434400502,0.015983014945809056,135.151,495.856,144.61019771543147,45.913089400302994,73.075,53.052324032492514,44.409348892518636,25.28111738106443,56.968835372963596,149.12392091508087,9.197023352058093,2.555400679452906,38.78443482285936,0.8790113758770609,51.203437026586656,29.269148791843666,60.976222226923284,65.4156984610696,64.97351062627466,36.89903009308966,35.7802533213413,67.37247203497134,37.45859673089373,12.342731395809308,42.20384665545656,44.34813090559517,44.34813090559517,30.59188760976522,22.59705013360065,17.598264644238775
2073.0,0.0005213531432736851,41.11483264604851,95.18445671319868,4.796765487805004,16.558845029120093,6.116683377607068,52.33175037956244,0.1739099306188414,40.13554548978141,39.744684366865314,0.7033475035044853,0.008434834023077778,132.46799958703068,43.598301655894566,106.99116995559365,20.203968586757817,0.3138886428844853,0.2474635439827403,3.5887181369264747,66.29523895274721,0.3157152550556617,0.7373415955321959,0.031215872941033434,135.121,495.745,143.10753235954672,46.071132220449854,73.106,52.70277651729003,45.039905317686404,26.810251828022718,57.432423255839645,146.75765342109932,9.367518830041226,2.949263600433851,39.139831647777385,0.9520398516045561,51.61566436541762,29.317999795226307,60.832232326857806,65.55581217721148,65.10924137499536,36.63044452788152,35.40851414974447,67.48049417856828,37.17246279185428,11.735447837659777,40.84238316447727,42.84126893164487,42.84126893164487,30.118174023047672,22.441884634695977,17.768737878900723
2074.0,0.0003919490182371793,39.02178570056957,92.97571792923172,4.452381804914611,17.703030845801354,5.8475539963628895,53.10892761487747,0.14907147806282853,40.403614220259776,40.050535964702284,0.6821787474296676,0.014574665191878375,129.4872061909603,43.61970295615507,110.44799104509264,19.584993575928703,0.4472630308707539,0.41105930854515704,3.4807921326333564,63.39354980582164,0.35119386450751067,0.8469607629797257,0.053940300442105675,135.091,495.634,141.51847888793884,46.18050724534166,73.138,52.3275849757251,45.58332009905168,28.412507271523452,57.71629122605703,144.37548639909568,9.58679297130598,3.3782877370987356,39.386855040450904,1.0229933270798113,52.00182765086521,29.354596662638677,60.63132061483918,65.64853916376019,65.1927806010496,36.39012187785994,35.06973638256967,67.54271775335141,36.91630631994198,11.176402977991918,39.44601423365797,41.282617746213006,41.282617746213006,29.53909652205714,22.242564329557627,17.907947720245684
2075.0,0.000286001834294904,36.873167098499195,90.57856853115227,4.187836102537688,18.78754275428612,5.570601171657864,53.75664972622107,0.12943577847990825,40.61442785075263,40.33493943093947,0.6806217252031694,0.023143440559325358,126.16060122392194,43.57653282851065,114.02774370254907,19.043539393928704,0.647374882841452,0.641806237350378,3.3648489099990972,60.39546312951151,0.3855836163802748,0.9667056599199051,0.0856546113501955,135.061,495.524,139.85321451550945,46.24979600644971,73.169,51.93487416332394,46.050491268793124,30.070943571999685,57.842378985477744,141.9862275998088,9.876506349012077,3.8433454259138387,39.5428886990154,1.0904296037817913,52.367774446625084,29.39574759882658,60.38074355745541,65.69562319095274,65.22536459631378,36.172982338084395,34.75996443635612,67.5609250836198,36.68463793124358,10.6640340913351,38.02994707564086,39.69052312155309,39.69052312155309,28.873743357208728,22.00821293711334,18.02138717925206
2076.0,0.0002011658973374357,34.69606383193833,88.03187379018651,3.9929562833425205,19.789904610203298,5.297518292210095,54.28559273429716,0.11486851303888625,40.7523591235861,40.604281390261995,0.7013988632102556,0.034545984158526555,122.51708091324788,43.46525046679585,117.55206086066708,18.578285292299295,0.9241761782865486,0.9506924080283313,3.246094150566178,57.353394700777365,0.4181223103685948,1.096987600489999,0.12785711956647286,135.030,495.413,138.12191645715998,46.28758003524528,73.201,51.53276883561277,46.45231685908937,31.76862058988445,57.832626235963744,139.59868477397765,10.25831953631923,4.345309003345437,39.62531632160635,1.1529064831894598,52.719352316392964,29.45826080853584,60.087757621294486,65.69880802902614,65.20822965266436,35.97394610361432,34.47524272764299,67.53689849367242,36.47196824184578,10.196778452218693,36.60938890306816,38.083330829918616,38.083330829918616,28.141202778917503,21.747954176290843,18.11454926689826
2077.0,0.00013509551325535267,32.51756289298806,85.37449897756063,3.8575702499973983,20.687640269181813,5.039998746737692,54.70643265980962,0.1052353629085685,40.80178078108638,40.86494846735499,0.7472325878361894,0.04918712002258952,118.5855414862706,43.28231506484521,120.84257545215074,18.187910522581966,1.2876188966960067,1.348705898208938,3.1297335358770835,54.3197602965798,0.44804774616711096,1.23821789882727,0.18204613899210667,135.000,495.302,136.33476192779202,46.302440863199685,73.232,51.12939374811785,46.79969490211907,33.48859818561076,57.708972679377005,137.22166567234115,10.753893106387142,4.885050805859798,39.65152160635923,1.2089817667817795,53.06240882386452,29.558944496512265,59.75961927294438,65.65983744821737,65.14261206197779,35.787933369509155,34.21161567296949,67.47242030780833,36.27280786783532,9.773073335172075,35.19954692858208,36.47938664356312,36.47938664356312,27.360563037598585,21.470911766017885,18.192926994162683
2078.0,8.544498793923054e-05,30.36475127374933,82.6453093645007,3.771505905170605,21.458273586850584,4.809735923958755,55.02984552346236,0.10040200925776058,40.7470655655796,41.123327286903624,0.8208453254662358,0.06747167218462223,114.39487917032237,43.02418581649327,123.72092040970419,17.871094336318187,1.7476550175597998,1.8468347855221308,3.0209727474742913,51.34697569387931,0.4745977234704642,1.390807869068985,0.24971998352826746,134.970,495.191,134.501928142307,46.302960021784216,73.263,50.73287365636537,47.10352343006088,35.213936219611675,57.49335801757948,134.86397804563808,11.384887632375538,5.463443169923205,39.638888251409526,1.2572132560377143,53.40279153273546,29.71460686750166,59.40358497899307,65.58045521876345,65.0297481161305,35.60986433082835,33.96512768887479,67.36927285032652,36.08166742529892,9.391356014724618,33.815628364824825,34.89703633474006,34.89703633474006,26.550912383667047,21.186209425222195,18.26201337202375
