years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2040,758.7311574473674,398.0763853534319,223.6854569912625,1001.2900111496893,935.2514563738531
2041,775.2279337290306,423.77253521431237,232.75434418043605,996.7306827620156,932.5387213861349
2042,787.8746088355124,451.6488544814781,241.87159768666527,992.6360644380038,930.1487636642377
2043,796.7043401907345,480.9912497667961,251.2990615654321,988.9391955189432,928.025390709538
2044,801.7502852186192,511.08562768213363,261.2985798722186,985.5731153461236,926.1124100234115
2045,803.0456013430882,541.2178948393577,272.1319966625067,982.4708632608346,924.3536291072338
2046,800.6234459880635,570.6739578503356,284.0611559917785,979.5654786043659,922.6928554623814
2047,794.5169765774672,598.7397233269346,297.3479019155159,976.7900007180073,921.0738965902298
2048,784.7593505352214,624.7010978810217,312.254078489201,974.0774689430482,919.4405599921548
2049,771.3837252852477,647.8439881244639,329.04152976831557,971.3609226207776,917.7366531695324
2050,754.4232582514683,667.4543006691287,347.9720998083418,968.5734010924863,915.9059836237384
2051,733.9111068578051,682.8179421268829,369.3076326647617,965.6479436994629,913.8923588561488
2052,709.8804285281798,693.2208191095939,393.30997239305714,962.5175897829972,911.6395863681391
2053,682.4596016719613,698.1692891985304,420.0952036953861,959.1276920419436,909.0724979273728
2054,652.1578886403022,698.0515138525673,449.1963738606093,955.472856605413,906.0400223666587
2055,619.5797727698028,693.4761054999806,480.00077082426327,951.5600029600804,902.3721127850931
2056,585.3297373970624,685.0516765690473,511.8956825218852,947.3960505926221,897.898722281772
2057,550.0122658586807,673.3868394880434,544.2683968890113,942.9879189897129,892.4498039557922
2058,514.2318414912573,659.0902066852453,576.5062018611785,938.3425276380284,885.8553109062495
2059,478.59294763139206,642.7703905889298,607.9963853739237,933.4667960242446,877.9451962322405
2060,443.70006761568425,625.0360036273727,638.126235362783,928.3676436350361,868.5494130328609
2061,410.1576847807338,606.495658228851,666.2830397632936,923.0519899570791,857.4979144072074
2062,378.5702824631403,587.7579668216407,691.854086510992,917.5267544770486,844.620653454376
2063,349.54234399950326,569.4315418340185,714.2266635414148,911.7988566816204,829.747583273463
2064,323.67835272642236,552.1249956942605,732.7880587900994,905.8752160574697,812.7086569635645
2065,301.5827919804974,536.4469408306433,746.9255601925811,899.7627520912718,793.3338276237768
2066,283.86014509832773,523.0059896714431,756.0264556843978,893.4683842697026,771.4530483531959
2067,271.1148954165133,512.4107546449366,759.4780332010857,886.9990320794377,746.8962722509187
2068,263.95152627165356,505.2698481793999,756.6675806781815,880.3616150071517,719.4934524160404
2069,262.7860600274272,502.03053763239,747.1979681100922,873.5576708432205,689.1689058463044
2070,267.2806751558287,502.494710078584,731.5343937267044,866.5672105928169,656.2244051340367
2071,276.90908915593167,506.30290752193974,710.3576378167746,859.3648635648133,621.0560867702101
2072,291.1450195268095,513.0956719664148,684.3484806690605,851.9252590680828,584.0600872457978
2073,309.4621837675359,522.5135454159672,654.1877025723181,844.2230264114982,545.6325430517725
2074,331.3342993771841,534.1970698745541,620.5560838153048,836.2327949039317,506.1695906791071
2075,356.2350838548278,547.7867873461335,584.1344046867771,827.9291938542564,466.0673666187741
2076,383.63825469954054,562.9232398346631,545.6034454754918,819.2868525713443,425.72200736174614
2077,413.0175294103957,579.2469693441005,505.64398647020613,810.2804003640691,385.5296493989968
2078,443.8466254864671,596.3985178784036,464.9368079596764,800.8844665413026,345.88642922149813
2079,475.59926042682764,614.0184274415295,424.16269023266034,791.0736804119181,307.18848332022367
2080,507.74915173055143,631.7472400374365,384.0024135779141,780.8226712847879,269.8319481861458
2081,539.7700168967119,649.2254976700822,345.1367582841943,770.1060684687848,234.21296031023695
2082,571.1355734243822,666.0937423434236,308.2465046402585,758.8985012727815,200.7276561834707
2083,601.3195388126363,681.9925160614193,274.0124329348629,747.1745990056505,169.77217229681926
2084,629.7956305605474,696.5623608280266,243.11532345676488,734.9089909762649,141.74264514125596
2085,656.0599631087888,709.4590645958923,216.07219856007438,722.0078762391589,116.94741031246875
2086,679.6982386644321,720.3993991124197,192.74504886031457,708.1037328315124,95.3435998250074
2087,700.3185563761492,729.1153820737018,172.8321070383627,692.7606085361685,76.80054479813771
2088,717.5290153926117,735.339031175831,156.03160577509513,675.542551135969,61.18757635112472
2089,730.9377148624902,738.8023641148999,142.0417777513888,656.0136084137562,48.37402560323404
2090,740.1527539344572,739.237398587001,130.56085564812042,633.737828152372,38.22922367373096
2091,744.7822317571835,736.3761522882271,121.28707214616664,608.2792581346589,30.622501681880763
2092,744.434247479341,729.9506429146709,113.91865992640439,579.201946143459,25.42319074694901
2093,738.7169002496009,719.6928881624248,108.15385166971029,546.0699399616145,22.500621988200972
2094,727.238289216635,705.3349057275816,103.69088005696118,508.44728737196795,21.72412652490209
2095,709.6065135291147,686.6087133062339,100.2279777690338,465.89803615736116,22.963035476317703
2096,685.4296723357111,663.2463285944738,97.46337748680479,417.986234100636,26.08667996171323
2097,654.3158647850964,634.9797692883947,95.09531189115104,364.27592898463564,30.964391100354007
2098,615.8731900259415,601.5410530840888,92.82201366294925,304.33116859220115,37.465500011505505
2099,569.7097472069183,562.6621976776489,90.34171548307616,237.71600070617586,45.459337814432956
2100,515.4336354766983,518.0752207651676,87.35265003240855,163.99447310940147,54.815235628401844
