years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2063,348.16068771707967,491.0465670309018,594.227300882836,863.9782650466631,779.2682058157153
2064,324.9783145916085,463.9158495097163,618.5762189067465,863.4621010344467,766.076351735992
2065,305.7335703622497,440.001864599864,638.9544541739024,862.9425814642,750.5438883345245
2066,291.01009265515324,420.09364179366673,654.7145982559115,862.4113263689052,732.4647707874298
2067,281.39151909647,404.98021058344705,665.2092427243814,861.859955781544,711.6329542708247
2068,277.46148731234985,395.4506004615264,669.790979150919,861.2800897350974,687.8423939608244
2069,279.60942600726,392.0668040912296,668.018928270672,860.633470851398,660.9871542052515
2070,287.4479281989339,394.4826668198905,660.2783274729436,859.7623321076809,631.361736038744
2071,300.3953779834216,402.1249971658456,647.160943310577,858.4790290700314,599.3607496676462
2072,317.870159456773,414.42060364743156,629.258542336416,856.5959173045353,565.3788052983025
2073,339.29065671503855,430.7962947829849,607.1628911033038,853.9253523772788,529.8105131370563
2074,364.07525385426777,450.67887909084163,581.4657561640832,850.2796898543469,493.0504833902519
2075,391.6423349705111,473.4951650893386,552.7589040715977,845.4712853018258,455.4933262642331
2076,421.4102841598187,498.6719612968125,521.6341013786905,839.3124942858009,417.5336519653434
2077,452.7974855182402,525.6360762315994,488.68311463820515,831.6156723723583,379.5660706999276
2078,485.2223231418262,553.8143184120362,454.49771040298447,822.1931751275832,341.98519267432886
2079,518.1031811266262,582.6334963564587,419.66965522587213,810.8573581175617,305.1856280948918
2080,550.8584435686905,611.5204185832043,384.7907156597113,797.4205769083795,269.56198716796007
2081,582.9064945640696,639.901893610609,350.45265825734475,781.6951870661219,235.50888009987713
2082,613.6657182088127,667.2047299570089,317.24724957161635,763.4935441568749,203.4209170969877
2083,642.5544985989707,692.8557361407413,285.766256155369,742.6280037467241,173.6927083656351
2084,668.9912198305931,716.281720680142,256.6014445614462,718.9109214017556,146.71886411216377
2085,692.473721174243,737.0512865088439,230.21658755648068,692.2292848172123,122.80477163672415
2086,712.8176625985345,755.3002142216617,206.56348276226282,662.7686102049674,101.89892661469364
2087,729.918159246595,771.306078828707,185.46593401437354,630.7890459060538,83.86060181525696
2088,743.6703262615514,785.3464553400913,166.74774514839277,596.5507402615018,68.54907000759812
2089,753.9692787865305,797.6989187659251,150.23271999990092,560.3138416123434,55.823603960901686
2090,760.7101319646597,808.6410441163199,135.74466240447833,522.3384982996096,45.54347644435186
2091,763.7880009390658,818.4504064013868,123.10737619770501,482.8848586643315,37.56796022713291
2092,763.098000852876,827.4045806312371,112.14466521516168,442.21307104754146,31.75632807842932
2093,758.5352468492174,835.7811418159822,102.68033329242833,400.5832837902699,27.967852767425306
2094,749.9948540712172,843.8576649657329,94.5381842650855,358.25564523354916,26.061807063305288
2095,737.3719376620023,851.9117250906004,87.54202196871336,315.49030371841025,25.897463735253538
2096,720.5616127646994,860.2208972006961,81.51565023889215,272.547407585884,27.3340955524544
2097,699.4589945224363,869.0627563061312,76.28287291120233,229.68710517700285,30.230975284092192
2098,673.9591980783396,878.714877417017,71.66749382122408,187.16954483279736,34.4473756993513
2099,643.9573385755364,889.4548355434641,67.49331680453777,145.25487489429963,39.84256956741595
2100,609.3485311571541,901.5602056955843,63.58414569672369,104.20324370254075,46.27582965747054
