years,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2086,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
