years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2081,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
