variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
electricity_Hydropower_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_Nuclear_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_CombinedCycleGasTurbine_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_GasTurbine_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_BiogasFired_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_Geothermal_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_CoalGen_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_OilGen_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_BiomassFired_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
fuel.biodiesel_Transesterification_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
fuel.ethanol_BiomassFermentation_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
hydrogen.liquid_hydrogen_HydrogenLiquefaction_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.AmineScrubbing_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.CalciumPotassiumScrubbing_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CalciumLooping_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.ChilledAmmoniaProcess_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CO2Membranes_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.MonoEthanolAmine_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PiperazineProcess_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PressureSwingAdsorption_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.BiomassBuryingFossilization_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.DeepOceanInjection_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.DeepSalineFormation_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.DepletedOilGas_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.EnhancedOilRecovery_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.GeologicMineralization_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
carbon_storage.PureCarbonSolidStorage_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
crop_investment_array_mix,[100. 100. 100. 100. 100. 100. 100. 100.],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
managed_wood_investment_array_mix,[100. 100. 100. 100. 100. 100. 100. 100.],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
